,rate_below_ctl,rate_above_ctl,overall_ctl,rate_below_exp,rate_above_exp,overall_exp,distribution,rate,name_scena
4,NA,NA,0.4,NA,NA,0.6,uniform,0.0688,NPNPT
8,0.19,0.47,0.42,0.35,0.65,0.6,uniform,0.0688,NPPT
12,NA,NA,0.4,NA,NA,0.4,uniform,0.0688,NPNPNT
16,0.19,0.47,0.42,0.19,0.47,0.42,uniform,0.0688,NPPNT
20,0.4,0.4,0.4,0.26,0.75,0.6,uniform,0.0688,HPNP1_50
24,0.44,0.56,0.52,0.29,0.83,0.67,uniform,0.0688,HPMP1_50
28,0.49,0.76,0.68,0.34,0.9,0.73,uniform,0.0688,HPHP1_50
32,0.4,0.4,0.4,0.31,0.7,0.6,uniform,0.0688,HPNP1_40
36,0.42,0.51,0.49,0.33,0.76,0.65,uniform,0.0688,HPMP1_40
40,0.46,0.66,0.61,0.36,0.84,0.71,uniform,0.0688,HPHP1_40
44,0.4,0.4,0.4,0.35,0.65,0.6,uniform,0.0688,MPNP1_30
48,0.41,0.47,0.46,0.36,0.7,0.64,uniform,0.0688,MPMP1_30
52,0.43,0.59,0.56,0.37,0.77,0.7,uniform,0.0688,MPHP1_30
56,0.4,0.4,0.4,0.4,0.6,0.6,uniform,0.0688,LPNP1_20
60,0.4,0.44,0.44,0.4,0.64,0.63,uniform,0.0688,LPMP1_20
64,0.4,0.51,0.5,0.4,0.68,0.68,uniform,0.0688,LPHP1_20
68,0.4,0.4,0.4,0.22,0.69,0.5,uniform,0.0688,HPNP2_50
72,0.45,0.56,0.51,0.26,0.79,0.57,uniform,0.0688,HPMP2_50
76,0.52,0.76,0.66,0.32,0.89,0.65,uniform,0.0688,HPHP2_50
80,0.4,0.4,0.4,0.26,0.64,0.49,uniform,0.0688,HPNP2_40
84,0.43,0.52,0.48,0.29,0.73,0.55,uniform,0.0688,HPMP2_40
88,0.48,0.68,0.6,0.33,0.83,0.63,uniform,0.0688,HPHP2_40
92,0.4,0.4,0.4,0.3,0.59,0.49,uniform,0.0688,MPNP2_30
96,0.42,0.48,0.46,0.32,0.66,0.54,uniform,0.0688,MPMP2_30
100,0.45,0.6,0.55,0.35,0.74,0.61,uniform,0.0688,MPHP2_30
104,0.4,0.4,0.4,0.35,0.55,0.5,uniform,0.0688,LPNP2_20
108,0.41,0.45,0.44,0.36,0.6,0.53,uniform,0.0688,LPMP2_20
112,0.43,0.53,0.5,0.38,0.67,0.59,uniform,0.0688,LPHP2_20
